Pessoa;Pergunta;Idade;Sexo;Classe
1;Características do veículo (marca, ano e etc);4 - MADURO;Feminino;B
1;Se possui animais de estimação;4 - MADURO;Feminino;B
1;Informações sociais como sexo, idade, estado civil por exemplo;4 - MADURO;Feminino;B
1;Se possui smartphone?;4 - MADURO;Feminino;B
1;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);4 - MADURO;Feminino;B
1;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);4 - MADURO;Feminino;B
1;Se possui filhos menores de 12 anos;4 - MADURO;Feminino;B
1;Se possui filhos menores de 18 anos;4 - MADURO;Feminino;B
1;Se possui casa própria ou se é alugada;4 - MADURO;Feminino;B
1;Se os filhos estudam em colégio particular;4 - MADURO;Feminino;B
1;Sobre a profissão que exerce;4 - MADURO;Feminino;B
1;Se faz academia ou pratica esportes de modo geral;4 - MADURO;Feminino;B
1;Se gosta de ir em shows;4 - MADURO;Feminino;B
2;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;E
2;Se possui animais de estimação;2 - JOVEM;Feminino;E
2;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
2;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;E
2;Sobre a profissão que exerce;2 - JOVEM;Feminino;E
3;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;1 - ADOLESCENTE;Feminino;D
3;Se possui filhos menores de 12 anos;1 - ADOLESCENTE;Feminino;D
3;Se possui filhos menores de 18 anos;1 - ADOLESCENTE;Feminino;D
3;Se possui casa própria ou se é alugada;1 - ADOLESCENTE;Feminino;D
3;Se os filhos estudam em colégio particular;1 - ADOLESCENTE;Feminino;D
3;Se gosta de ir em shows;1 - ADOLESCENTE;Feminino;D
4;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);4 - MADURO;Feminino;E
4;Aniversário e outras datas festivas (Casamento por exemplo);4 - MADURO;Feminino;E
4;Se possui animais de estimação;4 - MADURO;Feminino;E
4;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;4 - MADURO;Feminino;E
4;Se possui smartphone?;4 - MADURO;Feminino;E
4;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);4 - MADURO;Feminino;E
4;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);4 - MADURO;Feminino;E
4;Se possui filhos menores de 12 anos;4 - MADURO;Feminino;E
4;Se possui casa própria ou se é alugada;4 - MADURO;Feminino;E
4;Se os filhos estudam em colégio particular;4 - MADURO;Feminino;E
4;Se tem plano de saúde;4 - MADURO;Feminino;E
4;Se possui seguro de vida, de imóvel ou de carro;4 - MADURO;Feminino;E
4;Sobre a sua operadora de telefonia (Claro, Vivo e etc);4 - MADURO;Feminino;E
4;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);4 - MADURO;Feminino;E
4;Eu não responderia à nenhuma destas questões;4 - MADURO;Feminino;E
5;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);1 - ADOLESCENTE;Feminino;D
5;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);1 - ADOLESCENTE;Feminino;D
5;Se possui animais de estimação;1 - ADOLESCENTE;Feminino;D
5;Informações sociais como sexo, idade, estado civil por exemplo;1 - ADOLESCENTE;Feminino;D
5;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;1 - ADOLESCENTE;Feminino;D
5;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);1 - ADOLESCENTE;Feminino;D
5;Se possui smartphone?;1 - ADOLESCENTE;Feminino;D
5;Se costuma comprar parcelado ou à vista?;1 - ADOLESCENTE;Feminino;D
5;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);1 - ADOLESCENTE;Feminino;D
5;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);1 - ADOLESCENTE;Feminino;D
5;Sobre a sua operadora de telefonia (Claro, Vivo e etc);1 - ADOLESCENTE;Feminino;D
5;Se o celular é pós pago ou pré pago;1 - ADOLESCENTE;Feminino;D
5;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);1 - ADOLESCENTE;Feminino;D
6;Eu não responderia à nenhuma destas questões;1 - ADOLESCENTE;Feminino;E
7;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;E
8;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);2 - JOVEM;Feminino;C
8;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;C
8;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;C
8;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;C
8;Se possui smartphone?;2 - JOVEM;Feminino;C
8;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;C
8;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;C
8;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;C
8;Se possui casa própria ou se é alugada;2 - JOVEM;Feminino;C
8;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;C
8;Se gosta de ir em shows;2 - JOVEM;Feminino;C
8;Se tem plano de saúde;2 - JOVEM;Feminino;C
8;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;C
8;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;C
8;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;C
